objectid,filename,title,transliteration,synonym,language,format,description,subject,date,shelfmark,source,link,creative commons,rights,rightsstatement,citation
ccg0030,fili_file.jpg,fīlī,,"fīl, pagoda, fīlīya mithqāl, hon, varāha, gadyāna",Judaeo-Arabic,image/jpeg,"Gold coin attested in Cairo Geniza India trade that Goitein notes was roughly equivalent to the Fatimid dīnār (Goitein and Friedman, 637) which could denote a variety of denominations minted on the Indian subcontinent such as the gold ""pagoda"" that portrayed an ""elephant/fil,"" between roughly 1000-1400CE the Ganga ""pagoda"" (3.7 grams) existed alongside the lower denomination known as the gold ""fanam"" (.39 grams) which matches Goitein's notes ""the common coin of the Malabar coast was called fīlī.... the fīlī is subdivided into fanam.... other subdivisions of the Fili are a) rawbaj, a word registered in the Ar. dictionaries, but not defined"" (Goitein, India Book Notes, 4C.2.7 page 6) In line with Goitein's findings, Dineshchandra Sircar offers the conventional medieval weight of these coinage types as 87 grains (pagoda) to 6.87-8.37 grains (fanam) (Sircar, 243, 247). After the Western Gangas dynasty was subsumed within that of the Chola by 1000CE, Sircar notes that the Eastern Gangas dynasty minted gold coins of these denominations and labels along the Indian eastern coastal region. Coins bearing depictions of elephants were frequently connected to leaders who also held titles as ""gajapati"" or ""Elephant lords""– which also happens to be the title of the Gajapati Dynasty that eventually subsmued the Eastern Ganga (Sircar, 243-246). Sircar notes further that ""the name Pagoda or Pagode is derived from Pagodi which is a South Indian corruption of Sanskrit Bhagavati, 'the Mother-goddess,"" no doubt owing to many such coins bearing the figures of deities and their temples. The smaller and lighter of the two types is called 'Ganga Fanam' because the coins are regarded as issued by the Eastern Ganga kings of Orissa and resemble small South Indian gold coins known to the Europeans as ""Fanam"" the name being derived from Tamil Panam (Sanskrit Pana)"" (Sircar, 243). For the western coast of India it is crucial to note that ""it may be supposed that at least some of the so-called Gajapati Pagodas were issued by the Western Cālukyas of Kalyāna probably including Vikramāditya VI. [reigned 1076-1126]"" On the Malabar Coast ""it seems, however, that the Gajapati Pagodas without any legend were minted mostly by temple authorities or goldsmiths of Karnata for centuries without the permission of the royal authority. This is probably supported by the fact that the epigraphic records of the Karnata country often speak of such coins named after particular persons or places"" (Sircar, Studies in Indian Coins, 245-246) (See generally: Coins and Currency Systems in South India by Brajadul Chattopadhyaya). ",coin; Malabar Coast; Medieval; Indian Ocean,,ENA 1822A.66r line 15,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Chattopadhyaya, Brajadul. Coins and Currency Systems in South India. New Delhi: Munshiram Manoharlal Publishers, 1976.

►Goitein, S.D. India Book Notes. 4C.2.7. Goitein's Nachlass. Princeton Geniza Lab.

►Sircar, Dineshchandra. Studies in Indian Coins. New Delhi: Motilal Banarsidass, 1968."
ccg0031,findikli_file.jpg,findikli(s),فندق فندقلى فندقلو פנדוקליס פנדוקליז,"findiklī, fındık, fındıklı, findiklīz",Ottoman Turkish,image/jpeg,"Gold coin minted in the Ottoman Empire beginning in 1725 CE: ""In the place of the sultani, a number of new gold coins called tugrali, cedid Istanbul, zincirli, findik and zer-i mahbub were initiated between 1697 and 1728. All but the last of these started close to the standards of the ducat. All but the last of these started close to the standards of the ducat. Following the practice dating back to the fifteenth century, the government did not attach a fixed face-value to these gold coins. Their exchange rates were determined by the markets. In payments to the state, gold coins were accepted at the official rates of exchange."" (Pamuk,167, 174). The weights of these coinage types varied considerably, for example, the findik (or fındık in Turkish) weighed close to 3.5 grams and the zeri maḥbūb was 2.6 grams (Ibid, 168).",coin; Ottoman; Early Modern,1725,ENA NS 30.3r line 7,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0032,florin_file.jpg,florin,פלורין,,Italian,image/jpeg,"Gold coins minted by the Florentine Republic between 1252-1533CE (Goldthwaite, 429). Goldthwaite offers an appendix of fluctuating values in soldi di piccoli at the same page number. In Geniza sources and other documents from the pre-modern eastern Mediterranean the florin and other similar coinage types also referred to as peraḥīm (flowers) in Hebrew.",coin; Florentine; Medieval and Early Modern,1252,ENA 1066.7r line 5,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Goldthwaite, Richard. The Building of Renaissance Florence: An Economic and Social History. Baltimore: Johns Hopkins University Press, 1980."
ccg0033,ginzirli_file.jpg,ginzirli ,גינזירליז,,Hebrew,image/jpeg,"Gold coin minted in the Ottoman Empire beginning in 1707, most commonly known in Ottoman Turkish as zincirli or zingirli (which means lit. ""chained"" and may have been a reference to the chain design around the edge of the coin). On occasion the term appears with a final samech in a manner that may mirror Judaeo-Spanish pluralization, or less explicably the final letter zayn. As Pamuk notes, ""the gold coinage of Cairo also remained linked to those issued in Istanbul during the eighteenth century. Following the lead of Istanbul, a series of new gold coins were minted in Egypt beginning in the last decade of the seventeenth century. The Istanbul or tuğralı began to be minted in 1696-97 as the replacement for the şerifi which had been issued since the early part of the sixteenth century. The zincirli replaced it in 1707"" (Pamuk,174). ",coin; Ottoman; Early Modern; Judaeo-Spanish influence ,1707,ENA 1822a.83r line 9,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0034,grosso_file.jpg,grosso(s),גרושוש גורושו,,Italian,image/jpeg,"Silver coin originally minted by medeival Venetian Republic beginning in the 1190s whose label came to signify a variety of non-Ottoman silver coins, although, the last Venetian grossi were minted by Doge Cristoforo Moro in 1462CE (Peter Spufford, 859). Pamuk notes ""large silver coins minted in America and Europe known as grosso or groschen circulated extensively in Ottoman markets and Asia after 1550"" (Pamuk, 151). Complicating matters somewhat futher, Grierson notes that medieval ""contemporaries called it a ducat, though in modern usage this term is reserved for Venetian gold coins"" (Grierson, 295) Along these lines grossi, if referred to as ducats by historical actors, might be clearly identified through analysis of their buying power in a given documentary context and comparison to contemporary gold-silver exchange rates. Due to similarities in Hebrew-script orthography, the ""grosso"" can be easily misidentified as the Ottoman kuruş/guruş but can be distinguished by the presence by the of a final vav or ""וש"".",coin; Medieval and Early Modern; Venetian,1190,ENA 3669.2r line 5,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Grierson, Philip. Byzantine Coins. Berkeley: Univ of California Press, 1982.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000.

►Spufford, Peter. ""Coinage and Currency."" in The Cambridge Economic History of Europe from the Decline of the Roman Empire. Edward Mill. Cynthia Postan. M. M. Postan. eds. Cambridge: Cambridge University Press, 1987. 788-863."
ccg0035,gurush_file.jpg,gurūş (gurūsh),غروش قروش גרוש קרוש,,Turkish,image/jpeg,"Silver coin minted by Ottoman Empire as early as 1690CE but did not reach wide circulation until 1703CE, which is often a useful distinction for dating geniza fragments as 18th-19th-century. The exact starting point for mintage of the kuruş in 1690 or shortly thereafter is still disputed within the secondary literature (Pamuk, 160). In the the Ottoman monetary system one piastre/guruş hypothetically equalled 40 para/medin (Marsot, x). The lower example for this entry states ""ארבע מאות גרוש"" in Hebrew which translates as ""four hundred gurush.""",coin; Ottoman; Early Modern,1690,ENA 3958.10r line 1 (upper); T-S 16.331r line 9 (lower),Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Marsot, Afaf Lutfi al-Sayyid. Egypt in the Reign of Muhammad Ali. Cambridge: Cambridge University Press, 1984.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0036,habba_file.jpg,ḥabba,حبّة חבה,,Arabic,image/jpeg,"Unit of account that Goitein notes ""is one-third of a qīrāṭ and 1/72 of a dinar"" (Goitein, MS I, 381).",unit of account; Medieval and Early Modern,,ENA 3958.7v line 4,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967."
ccg0037,hajar_file.jpg,ḥajar,حجر חגר,,Judaeo-Arabic,image/jpeg,"A term which literally means ""stone"" in Arabic yet could be attached to coinage labels in order to indicate ""hard"" currency/cash (Piamenta, 83). Accordingly, the term could be crucial for identifying documents which are dealing in money of account versus cash. The second context in which ""ḥajar"" can appear, where it may not necessarily indicate cash, is in the labels for a wide variety of European silver coins, such as the Dutch lion thaler, Spanish reales, and Austrian thalers. The latter coins can appear for example as: al-kalb al-ḥajar, riyal ḥajar, or masht ḥajar bataqa, respectively (Raymond, 20-24). Nancy Um notes that in early modern Yemen the qirsh ḥajar was synonymous with the Spanish silver real (Um, 240). There is also limited evidence that ""ḥajar"" could be used to refer to locally produced Mamluk or Ottoman coinage– for example the still unidentified ḥajar Qudsī pictured as the image for this entry (Bacharach, 271).",coin; currency quality; Ottoman; Mamluk; Medieval and Early Modern,,ENA 3773.5v line 12,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"► Bacharach, Jere L. “Circassian Monetary Policy: Silver.” The Numismatic Chronicle (1966-) 11 (1971): 267–81.

► Piamenta, Moshe. A Dictionary of Post-Classical Yemeni Arabic. Leiden: Brill, 1990.

► Raymond, André. Artisans et commerçants au Caire au XVIIIe siècle Vols. I-II. Damascus: Institute Français, 1973.

► Um, Nancy. The Merchant Houses of Mocha: Trade and Architecture in an Indian Ocean Port. Seattle: University of Washington Press, 2011."
ccg0038,harf_file.jpg,ḥarf (pl. ḥarūf),حرف حروف חרף חרוף,ḥarf aḥmar,Judaeo-Arabic,image/jpeg,"A coin minted in early modern Yemen that when issued in gold is attested as ""the Ḥarf Ahmar, or Ḥarf Dhahab Aḥmar, known also simply as al-Dhahab as in Turkish. This coin is to be identified with the ashrafl, and possibly sometimes with the sequin of which actual examples, or at least faithful copies, are to be seen on the dagger-handles of Sultans to this day"" (Serjeant, 145). Silver coins of the early modern Arabian peninsula were also referred to as ""ḥarf"" and therefore the term's usage (whether it denotes the silver or gold variant) must be established by analysis of buying power in a given documentary context.",coin; Early Modern; Yemen,,ENA 1177.64r line 10 ,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"► Serjeant, Robert Bertram. The Portuguese off the South Arabian Coast. Oxford: Clarendon Press, 1963."
ccg0039,histamenon_file.jpg,histamenon,ἱστάμενον,,Greek,image/jpeg,"Gold coin minted in the Byzantine empire that, alongside the lighter tetarteron, represented a new debased version of the Byzantine gold nomisma/solidus beginning in the 10-11th centuries. Grierson notes, ""the problems created by the existence of two different kinds of nomisma [histamenon and tetrateron] were exacerbated in the 1030s by their debasement. Since its creation under Constantine the standard gold coin of the Empire [the solidus] had reamined unchanged in fineness, though debased coins had been at times extensively struck in Italy. In the reign of Michael IV (1034-41CE) this proud seven-century tradition was broken, and in the course of the next fourty years the gold content of the Constantinopolitan nomisma was reduced to a third of its original figure. Although some of Michael's coins are of virutally pure gold, others are only 20 carats fine. Under Constantine IX (1042-55) there was a futher reduction to about 18 carats, which figure the coins remained more or less stable down to 1070. The fall was then resumed. Michael VII's nomismata dropped from 16 carats to 12, and Nicephorus iii's to a little over 8. Alexius I subsequently debased the nomisma out of existence, and a fresh start, with a new coin known as the hyperpyron, of the same weight as the traditional nomisma but only 20.5 carats fine and unaccompanied by any tetarteron, had to be made in 1092"" (Grierson, 197).",coin; Medieval; Byzantine,,Currently Unattested in the Cairo Geniza,,,,,,"►Grierson, Philip. Byzantine Coins. Berkeley: Univ of California Press, 1982."
ccg0040,ibrahimi_file.jpg,Ibrahīmī,אברהימי ابراهيمي,"kuruş, kurush, piaster, qirsh",Judaeo-Arabic,image/jpeg,"Coinage that was minted according to standards that were implemented by Avraham Castro during his time as the head of the Ottoman imperial mint in Cairo between 1520-1524 CE (Shtober, 88). The example for this entry states ""פרח אחד אברהימי"" which is a reference to Ottoman gold sulṭānī minted during Castro's tenure and translates literally as ""one Ibrahīmī flower."" For other instances of the usage of ""Ibrahīmī,"" see: CUL Or.1081 J47; T-S 20.67.",mint standard; Early Modern; Ottoman,1520,T-S 20.161r line 29,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"► Shtober, Simon. ""'On the Issue of Customs Collectors in Egypt'– Jews as Tax Farmers in Ottoman Egypt"" (Hebrew). Pe'amim: Studies in Oriental Jewry 38 (1989): 68-94."
ccg0041,jadid_file.jpg,jadīd (pl. judad), فلس جديد فلوس جدد פלס גדיד פלוס גודד,fels,Judaeo-Arabic,image/jpeg,"Copper coin minted under the Mamluk Sultanate beginning in the second reign of al-Nāṣir Ḥasan (1354-1361CE), that was first issued in 1357CE as a heavier version of the fels/fulūs and was therefore known as jadīd/new or al-fulus al-judad. As Schultz notes, ""the weight standard to which these new copper coins were struck was the mithqāl. When contrasted to earlier Mamluk Egyptian fulûs, this represents a significant increase in weight... by the middle of the eight/fourteenth century (if not earlier), Mamluk Egyptian copper coins were [previously] struck to a dirham-weight standard"" (Schultz, 134). This label is also applicable for Ottoman-era coinage, especially in Egypt, where the coin was known to European merchants also as ""bourbes"", ""bulbes"", or ""forles"" (Raymond, 37; Pamuk, 6, 176). The image for this entry lists a quantity of 322 fulus judad (ש+כ+ב).",coin; Mamluk; Medieval,1357,ENA NS 33.12r lines 4-5,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000.

►Raymond, André. Artisans et commerçants au Caire au XVIIIe siècle Vols. I-II. Damascus: Institute Français, 1973.

►Schultz, Warren C. ""The Circulation of Dirhams in the Bahri Period."" in The Mamluks in Egyptian and Syrian Politics and Society. eds. Michael Winter and Amalia Levanoni. Leiden: Brill, 2004. 221-244."
ccg0042,idl_file.jpg,ʿidl,عدل עדל,,Judaeo-Arabic,image/jpeg,"Unit of weight denoting a ""bale"" that Goldberg frames proportionally, ""wuqiyya can be read as ounces, raṭls as pounds, and manns as two pounds (or one kilogram). A qinṭār is a hundred raṭls, or a hundredweight (50 kilograms), an 'idl or bale weighed roughly 500 raṭl (although since these were also the physical objects of shipping their weight varied from around 160 to over 350 kilograms"" (Goldberg, xix). The example for this entry states ""עדל וזנה"" which translates from Judaeo-Arabic as a ""weight of #___ 'idl.""",unit of weight; Medieval and Early Modern,,T-S J1.54r,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,
ccg0043,istanbul_file.jpg,jadīd Istanbul ,جديد اسطنبول גדיד אסטנבול,,,image/jpeg,"Gold coin minted in the Ottoman empire beginning in 1716 CE that was also known as cedid İslambol (Artuk, İslâm Ansiklopedisi). As Pamuk notes, ""the gold coinage of Cairo also remained linked to those issued in Istanbul during the eighteenth century. Following the lead of Istanbul, a series of new gold coins were minted in Egypt beginning in the last decade of the seventeenth century. The Istanbul or tuğralı began to be minted in 1696-97 as the replacement for the şerifi which had been issued since the early part of the sixteenth century. The zincirli replaced it in 1707"" (Pamuk,174).  ",coin; Ottoman; Early Modern,1716,JRL SERIES C 52v,John Rylands Library - The University of Manchester,https://luna.manchester.ac.uk/luna/servlet/detail/ManchesterDev~95~2~132044~125263?sort=reference_number%2Cdate_created&qvq=q:c%2052;sort:reference_number%2Cdate_created;lc:ManchesterDev~95~2&mi=3&trs=4,,Image courtesy of the John Rylands Library and modified in keeping with CC-4.0 International,https://creativecommons.org/licenses/by-nc-sa/4.0/,"►Artuk, Ibrahim. ""Cedid İslambol,"" İslâm Ansiklopedisi, https://islamansiklopedisi.org.tr/cedid-islambol.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0044,kalb_file.jpg,kalb,كلب כלב,"ebū kalb, esedī kuruş, guruş arayot, arselanī, aslanlı",Judaeo-Arabic,image/jpeg,"Silver coin minted in the Dutch Republic from 1575-1713CE, known commonly in English as the ""lion thaler"" in which the figurative portrayal of a lion led to many related labels in Judaeo-Arabic and Ottoman Turkish (Pamuk, 99). These years production are less helpful in dating geniza fragments than others, however, because the terms for this Dutch coinage type remained in use after 1713CE meaning that the term became synonymous with other currency (and/or continued to circulate extensively in Egypt). Given the presence of lions on the crests in both Spanish and Austrian silver coinage of the eighteenth and nineteenth centuries, silver reales and thalers must also be considered as potential bearers of these labels after the Dutch lion thalers were no longer produced.",coin; Dutch; Early Modern,1575,ENA NS 77.305r lines 3-4,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0045,kesifimshehorim_file.jpg,kesifīm sheḥorīm,כספים שחורים,"black dirham, dirham aswad, dirham waraq",Hebrew,image/jpeg,"Alternative term in Hebrew for the black dirham which was sometimes referred interchangeably as dirham wariq. This form of coinage took its name from the discoloration of silver that had been alloyed with copper, tin, and other metals to produce what is known today in English as ""billon"" alloy. The silver content was commonly 33% or less. Bresc also notes, that ""during the thirteenth century, the majority of the bulk of silver produced in Egypt consisted of these dirham aswad whose coinage ended under the rule of the Sultan al-Kamil [in 1225 CE]"" (Bresc, 410-411; Ehrenkreutz, 504). There is not a consensus in the secondary literature as to whether ""wariq/waraq"" was always an interchangeable term with ""dirham aswad."" While Bresc interprets them as one and the same, Goitein estimates that black dirhams could have an exchange value as low as 100 to 1 dīnār, whereas wariq/waraq dirhams had a higher value of 50 to 1 (Goitein, MS I, 388). Assuming that these coinage types were the same, the variation Goitein uncovered might be explained by the fact that the fineness of low-quality dirhams was often inconsisent and led to multiple attempts by Ayyubid sultans at abolishing their production/circulation. (Bates, 73; Ehrenkreutz, 504)",coin; Medieval; Ayyubid; Fatimid,,T-S 12.62 line 7,Cambridge University Library,,yes,Image courtesy of Cambridge University Library,,"►Bresc, Cécile. ""Quseir al-Qadim: a Hoard of Islamic Coins from the Ayyubid period."" Revue Numismatique 164.6 (2008): 407-436.

►Ehrenkreutz, Andrew S. ""Contributions to the Knowledge of the Fiscal Administration of Egypt in the Middle Ages."" Bulletin of the School of Oriental and African Studies 16, no. 3 (1954): 502-514.

►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967."
ccg0046,keration_file.jpeg,keration,κεράτιον,,Greek,image/jpeg,"Unit of account in the Byzantine empire that was in use from at least the eleventh century up until the empire's fall in 1453CE. One silver keration represented 1/24 of the gold solidus (Grierson, 17, 216; Goitein, MS I, 370). ",,,Currently Unattested in the Cairo Geniza,,,,,,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967.

►Grierson, Philip. Byzantine Coins. Berkeley: Univ of California Press, 1982."
ccg0047,khamsiyya_file.jpeg,"khamsīyya, komassi",خمسية כמסיה כמשיה,komassi,Arabic,image/jpeg,"Silver coin minted in Yemen across the 16th-18th centuries whose name could indicate one-fifth the weight of a silver dirhem but its original notional value is unknown (Um, 239; Serjeant, 151). ",coin; Early Modern; Yemen; currently unattested,,Currently Unattested in the Cairo Geniza,,,,,,"►Serjeant, Robert Bertram. The Portuguese off the South Arabian Coast. Oxford: Clarendon Press, 1963.

►Um, Nancy. The Merchant Houses of Mocha: Trade and Architecture in an Indian Ocean Port. Seattle: University of Washington Press, 2011."
ccg0048,kharruba_file.jpg,kharrūba,خروبة כרובה,,Arabic,image/jpeg,"Silver coin and unit of account that was originally a fraction of a dirhem in medieval period and the title continued to be used in North African silver and copper coinage minted during the early modern period. Goitein notes that ""fractions of the dirhem are constantly referred to. The kharrūba, or carob seed (the English is derived from the Semitic word) represented 1/16 of the dirhem, as in T-S 16.39, 1.20. Normally kharrūba is used (as we do with penny) in the sense of a very small amount of money (usually which one does not have); ḥabba, above section 7, is used in the same sense."" (Goitein, MS I, 360). In Ottoman North Africa the kharrūba was minted across the eyalets of Algiers, Tunis, and Tripoli al-Gharb during the seventeenth and eighteenth centuries (Pamuk, 109-111).",coin; Medieval and Early Modern,,ENA 3958.7v line 4,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Goitein, S.D. A Mediterranean Society, Volume I: Economic Foundations. Berkeley: University of California Press, 1999, 1967.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."
ccg0049,kile_file.jpeg,kīle,,bushel,"Judeo-Arabic, Ottoman Turkish",image/jpeg,"Unit of weight in Ottoman empire equalling ""about 1 bushel, or 364 liters, but even more than other measurements the kile could vary from region to region"" (White, xvi).",,,Currently Unattested in the Cairo Geniza,,,,,,
ccg0050,kis_file.jpg,kīs (pl. kīsīm),كيس כיס כיסים כיש ,"bourse, purse",Judaeo-Arabic,image/jpeg,"Unit of account equalling 25,000 medin in eighteenth-century Egypt, in contemporary French was referenced as a ""bourse""  (Raymond, 39) and in English as ""purse."" In nineteenth-century Egypt it perhaps indicated a lower value of 20,000 medins (Marsot, X). The example for this entry states ""שנים וארבעים כיסים"" in Hebrew which translates as ""forty two kīs"" (although an additional half kīs is noted just after this excerpt).",unit of account; Ottoman; Early Modern,,T-S AS 152.160v line 6,Cambridge University Library,,no,,,"►Marsot, Afaf Lutfi al-Sayyid. Egypt in the Reign of Muhammad Ali. Cambridge: Cambridge University Press, 1984.

►Raymond, André. Artisans et commerçants au Caire au XVIIIe siècle Vols. I-II. Damascus: Institute Français, 1973."
ccg0051,dirhamkamili_file.jpg,Kāmilī dirham,דרהם ונצף כאמליה درهم ونصف كاملية,mustadīra,Judaeo-Arabic,image/jpeg,"Silver coin minted first in 1225 CE during the reign of the Ayyubid Sultan al-Kāmil Nāṣr ad-Dīn Muḥammad (r. 1218-1238 CE) that was also known as the ""mustadīra"" (rounded) dirham. Kāmilī dirhams had a relatively low silver content (roughly 33%) and were minted in order to replace black dirhams, whose production ceased in 1225 CE as part of al-Kāmil's currency reforms (Schultz, 232-233). Bresc and Ehrenkreutz note that the end of production did not prevent these prior coinage types from circulating after 1225 CE"" (Bresc, 411; Ehrenkreutz, 504).",coin; regnal variant; Ayyubid,1225,ENA NS 19.17r line 4,Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Bresc, Cécile. ""Quseir al-Qadim: a Hoard of Islamic Coins from the Ayyubid period."" Revue Numismatique 164.6 (2008): 407-436.

►Ehrenkreutz, Andrew S. ""Contributions to the Knowledge of the Fiscal Administration of Egypt in the Middle Ages."" Bulletin of the School of Oriental and African Studies 16, no. 3 (1954): 502-514.

►Schultz, Warren C. ""The Circulation of Dirhams in the Bahri Period."" in The Mamluks in Egyptian and Syrian Politics and Society. eds. Michael Winter and Amalia Levanoni. Leiden: Brill, 2004. 221-244."
ccg0052,kawraja_file.jpg,kawraja,كورج כורג,score,,image/jpeg,"Unit of quantity that Goitein uncovered in his research on the medieval India traders of the Cairo Geniza, which he notes ""is a unit of twenty. Certainly Indian"" (Goitein, India Book Notes, 4C.2.7 page 6). Since Goitein recorded this definition in his notes the transmission of this term into Yemeni Arabic has been described by the linguist Janet Watson who notes that: ""Yemen has maintained trade links with the Indian sub-continent since at least the first millenium BC. Linguistically, these trade links are reflected principally in vocabulary relating to trade and industry, and to traded goods. Terms for the quantities 'dozen' and 'score', darzan and kawraj, are imports from the Anglo-Indian darjan and corge or coorge (Yule and Burnell 1886 [1985]: 258), with Anglo-Indian darjan originating from English 'dozen' through /z/>/j/ sound change (Tim Mackintosh, personal communicaiton)."" (Watson,  407) Note that Watson's reading of ""kawraj"" as a ""score"" or a unit of twenty directly confirms Goitein's reading of the medieval genizot and the continuity of its value over time in Yemen.",unit; Medieval; Indian Ocean; Yemen,,T-S 13J25.13 line 18,Cambridge University Library,,,,,"► Goitein, S.D. India Book Notes. 4C.2.7. Goitein's Nachlass. Princeton Geniza Lab.

► Watson, Janet. ""On the linguistic archaeology of Ṣanʿānī Arabic."" in Proceedings of the Seminar for Arabian Studies Vol. 34. Oxford: Archaeopress, 2004. 405-412."
ccg0053,kurush_file.jpg,kurūş (kurūsh),غروش قروش קורוש גרוש קרוש,"piaster, qirsh, gurūş, gurūsh",Ottoman Turkish,image/jpeg,"Silver coin minted by Ottoman Empire as early as 1690CE but did not reach wide circulation until 1703CE, which is often a useful distinction for dating geniza fragments as 18th-19th-century. The exact starting point for mintage of the kuruş in 1690 or shortly thereafter is still disputed within the secondary literature (Pamuk, 160). In the the Ottoman monetary system one piastre/guruş hypothetically equalled 40 para/medin (Marsot, x). The upper paleographical example states a sum of ""ماية وعشر قروش"" in Arabic which translates to ""one hundred and ten kurūsh."" The lower paleographical example for this entry captures a less common feature of early modern orthography because ""kurūsh"" frequently appears only with one vav rather than two.",coin; Ottoman; Early Modern,1690,ENA 3901.3r line 5 (upper); ENA NS I.12r (lower),Jewish Theological Seminary Library,,,Image courtesy of the Jewish Theological Seminary Library (JTSL) through Creative Commons-0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,"►Marsot, Afaf Lutfi al-Sayyid. Egypt in the Reign of Muhammad Ali. Cambridge: Cambridge University Press, 1984.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."""
ccg0054,k_file.jpg,kurūş symbol,ق,"piaster, qirsh, gurūş, gurūsh",Ottoman Turkish,image/jpeg,"A symbol that often appears at the top of numerical columns or at the end of accounts where final totals are listed. The qof symbol designates figures in Ottoman kurūş, a silver coin minted by Ottoman Empire as early as 1690CE but did not reach wide circulation until 1703CE, which is often a useful distinction for dating geniza fragments as 18th-19th-century. The exact starting point for mintage of the kuruş in 1690 or shortly thereafter is still disputed within the secondary literature (Pamuk, 160). In the Ottoman monetary system one piastre/guruş hypothetically equalled 40 para/medin (Marsot, x).  ",coin; Ottoman; Early Modern,1690,JRL SERIES C 57v,John Rylands Library - The University of Manchester,https://luna.manchester.ac.uk/luna/servlet/detail/ManchesterDev~95~2~132094~125273?sort=reference_number%2Cdate_created&qvq=q:C%2057;sort:reference_number%2Cdate_created;lc:ManchesterDev~95~2&mi=7&trs=8,,Image courtesy of the John Rylands Library and modified in keeping with CC-4.0 International,https://creativecommons.org/licenses/by-nc-sa/4.0/,"►Marsot, Afaf Lutfi al-Sayyid. Egypt in the Reign of Muhammad Ali. Cambridge: Cambridge University Press, 1984.

►Pamuk, Şevket. A Monetary History of the Ottoman Empire. Cambridge: Cambridge University Press, 2000."""
